name,or_tools_cost
XML1000_3375_22,9508150.0
XML1000_3112_15,
XML1000_2374_15,
XML1000_2113_22,
XML1000_2226_21,4793794.0
XML1000_1151_27,
XML1000_1336_10,5848519.0
XML1000_2274_01,
XML1000_1336_04,4703608.0
XML1000_3275_22,
XML1000_2274_15,
XML1000_2373_08,
XML1000_1364_24,
XML1000_3115_08,
XML1000_1231_19,
XML1000_1236_10,4040116.0
XML1000_3112_01,
XML1000_2374_01,
XML1000_2141_16,
XML1000_2326_21,4565687.0
XML1000_3256_02,6988308.0
XML1000_3164_08,
XML1000_1172_13,
XML1000_1315_24,
XML1000_3163_01,
XML1000_3356_16,6507691.0
XML1000_3131_21,
XML1000_3356_02,8427688.0
XML1000_1215_24,6119476.0
XML1000_2162_22,
XML1000_3163_15,
XML1000_3256_16,5457914.0
XML1000_1172_07,
XML1000_1315_18,
XML1000_2165_03,7561308.0
XML1000_3136_14,6071721.0
XML1000_3351_23,
XML1000_1212_05,
XML1000_1312_11,
XML1000_1175_26,
XML1000_3251_23,
XML1000_1312_05,
XML1000_1215_18,
XML1000_3131_09,
XML1000_1212_11,
XML1000_3164_20,
XML1000_2165_17,
XML1000_3145_05,11181017.0
XML1000_1261_14,
XML1000_2323_05,
XML1000_2224_18,
XML1000_2371_25,
XML1000_2116_12,4818763.0
XML1000_1366_09,7171954.0
XML1000_3222_26,
XML1000_2223_11,
