Model,Type,Train Init Temp,Train Steps,Train Dimension,Train Demand,Train Scheduler,Train Clustering,Dimension,Step,Scheduler,Clustering,Initial Temp,Initial Cost,Final Cost,Gain
100_100000_step_True_1,Baseline,/,/,/,/,/,/,100,100000,step,True,1,49.96660614013672,16.317983627319336,33.64862251281738
100_100_cyclic_True_100,Baseline,/,/,/,/,/,/,100,100,cyclic,True,100,49.96660614013672,45.374629974365234,4.591976165771484
100_100_lam_True_100,Baseline,/,/,/,/,/,/,100,100,lam,True,100,49.96660614013672,41.92147445678711,8.04513168334961
100_100_step_True_100,Baseline,/,/,/,/,/,/,100,100,step,True,100,49.96660614013672,45.60142135620117,4.365184783935547
100_1000_cyclic_True_100,Baseline,/,/,/,/,/,/,100,1000,cyclic,True,100,49.96660614013672,24.75908660888672,25.20751953125
100_1000_lam_True_100,Baseline,/,/,/,/,/,/,100,1000,lam,True,100,49.96660614013672,28.564279556274414,21.402326583862305
100_1000_step_True_100,Baseline,/,/,/,/,/,/,100,1000,step,True,100,49.96660614013672,37.535743713378906,12.430862426757812
100_100000_cyclic_True_100,Baseline,/,/,/,/,/,/,100,100000,cyclic,True,100,49.96660614013672,14.703394889831543,35.263211250305176
100_100000_lam_True_100,Baseline,/,/,/,/,/,/,100,100000,lam,True,100,49.96660614013672,15.633129119873047,34.33347702026367
100_100000_step_True_100,Baseline,/,/,/,/,/,/,100,100000,step,True,100,49.96660614013672,16.867128372192383,33.099477767944336
100_100_cyclic_True_1000,Baseline,/,/,/,/,/,/,100,100,cyclic,True,1000,49.96660614013672,45.542911529541016,4.423694610595703
100_100_lam_True_1000,Baseline,/,/,/,/,/,/,100,100,lam,True,1000,49.96660614013672,42.97322082519531,6.993385314941406
100_100_step_True_1000,Baseline,/,/,/,/,/,/,100,100,step,True,1000,49.96660614013672,45.6279411315918,4.338665008544922
100_1000_cyclic_True_1000,Baseline,/,/,/,/,/,/,100,1000,cyclic,True,1000,49.96660614013672,26.1606502532959,23.80595588684082
100_1000_lam_True_1000,Baseline,/,/,/,/,/,/,100,1000,lam,True,1000,49.96660614013672,29.975364685058594,19.991241455078125
100_1000_step_True_1000,Baseline,/,/,/,/,/,/,100,1000,step,True,1000,49.96660614013672,38.246578216552734,11.720027923583984
100_100000_cyclic_True_1000,Baseline,/,/,/,/,/,/,100,100000,cyclic,True,1000,49.96660614013672,14.742650985717773,35.223955154418945
100_100000_lam_True_1000,Baseline,/,/,/,/,/,/,100,100000,lam,True,1000,49.96660614013672,16.2096004486084,33.75700569152832
100_100000_step_True_1000,Baseline,/,/,/,/,/,/,100,100000,step,True,1000,49.96660614013672,16.93305778503418,33.03354835510254
/,OR_TOOLS 1 sec,/,/,/,/,/,/,100,/,/,False,/,58.11152648925781,,
100_100_cyclic_False_1,Baseline,/,/,/,/,/,/,100,100,cyclic,False,1,58.11152648925781,48.79745101928711,9.314075469970703
100_100_lam_False_1,Baseline,/,/,/,/,/,/,100,100,lam,False,1,58.11152648925781,47.375328063964844,10.736198425292969
100_100_step_False_1,Baseline,/,/,/,/,/,/,100,100,step,False,1,58.11152648925781,49.835960388183594,8.275566101074219
100_1000_cyclic_False_1,Baseline,/,/,/,/,/,/,100,1000,cyclic,False,1,58.11152648925781,31.00423812866211,27.107288360595703
100_1000_lam_False_1,Baseline,/,/,/,/,/,/,100,1000,lam,False,1,58.11152648925781,32.92564392089844,25.185882568359375
100_1000_step_False_1,Baseline,/,/,/,/,/,/,100,1000,step,False,1,58.11152648925781,38.5923957824707,19.51913070678711
100_100000_cyclic_False_1,Baseline,/,/,/,/,/,/,100,100000,cyclic,False,1,58.11152648925781,19.73247718811035,38.37904930114746
100_100000_lam_False_1,Baseline,/,/,/,/,/,/,100,100000,lam,False,1,58.11152648925781,18.552276611328125,39.55924987792969
100_100000_step_False_1,Baseline,/,/,/,/,/,/,100,100000,step,False,1,58.11152648925781,21.458053588867188,36.653472900390625
100_100_cyclic_False_100,Baseline,/,/,/,/,/,/,100,100,cyclic,False,100,58.11152648925781,54.158546447753906,3.9529800415039062
100_100_lam_False_100,Baseline,/,/,/,/,/,/,100,100,lam,False,100,58.11152648925781,50.580833435058594,7.530693054199219
100_100_step_False_100,Baseline,/,/,/,/,/,/,100,100,step,False,100,58.11152648925781,54.238216400146484,3.873310089111328
100_1000_cyclic_False_100,Baseline,/,/,/,/,/,/,100,1000,cyclic,False,100,58.11152648925781,33.13208770751953,24.97943878173828
100_1000_lam_False_100,Baseline,/,/,/,/,/,/,100,1000,lam,False,100,58.11152648925781,37.757137298583984,20.354389190673828
100_1000_step_False_100,Baseline,/,/,/,/,/,/,100,1000,step,False,100,58.11152648925781,46.54942321777344,11.562103271484375
100_100000_cyclic_False_100,Baseline,/,/,/,/,/,/,100,100000,cyclic,False,100,58.11152648925781,19.685461044311523,38.42606544494629
100_100000_lam_False_100,Baseline,/,/,/,/,/,/,100,100000,lam,False,100,58.11152648925781,20.090173721313477,38.021352767944336
